provinsi,jenis,daerah,tahun,periode,gk,encoded_jenis,encoded_daerah,scaled_gk,cluster,PC1,PC2,gk_original
ACEH,TOTAL,PERDESAANPERKOTAAN,2018,MARET,464626.0,2,1,1.0352318353126713,6,1.3403044226148104,-0.197823811162275,464626.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2018,SEPTEMBER,476665.0,2,1,1.112776729298265,2,1.4085632780185349,-0.19635809663051507,476665.0
ACEH,TOTAL,PERKOTAAN,2019,MARET,501617.0,2,2,1.2734960743209855,2,1.645565621087564,0.7783685282374211,501617.0
ACEH,TOTAL,PERKOTAAN,2019,SEPTEMBER,517900.0,2,2,1.3783771698245506,2,1.7378871546483943,0.7803509378827942,517900.0
ACEH,TOTAL,PERKOTAAN,2020,MARET,541451.0,2,2,1.5300724765987608,2,1.8714168750249294,0.7832182061723099,541451.0
ACEH,TOTAL,PERKOTAAN,2020,SEPTEMBER,543685.0,2,2,1.5444619851263641,2,1.8840832329426895,0.7834901894154322,543685.0
ACEH,TOTAL,PERDESAAN,2019,MARET,479569.0,2,0,1.1314818021559911,3,1.3294991919580719,-1.1676933315161682,479569.0
ACEH,TOTAL,PERDESAAN,2019,SEPTEMBER,497615.0,2,0,1.2477186288744913,3,1.4318166024253531,-1.165496281558519,497615.0
ACEH,TOTAL,PERDESAAN,2020,MARET,512886.0,2,0,1.3460812898973336,3,1.5184002871890603,-1.1636370800787859,512886.0
ACEH,TOTAL,PERDESAAN,2020,SEPTEMBER,514663.0,2,0,1.3575271970833458,3,1.5284755414504123,-1.1634207353057202,514663.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2019,MARET,486935.0,2,1,1.1789272452241764,2,1.4667922376494213,-0.19510775289422677,486935.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2019,SEPTEMBER,504414.0,2,1,1.2915119451140502,2,1.5658948652432154,-0.1929797335985517,504414.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2020,MARET,522125.0,2,1,1.405590989667489,2,1.6663128890039394,-0.1908234689526509,522125.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2020,SEPTEMBER,524208.0,2,1,1.4190078859356168,2,1.6781231054509829,-0.19056986953661514,524208.0
ACEH,TOTAL,PERKOTAAN,2021,MARET,565776.0,2,2,1.6867532263453815,2,2.0093350291652716,0.7861797067940441,565776.0
ACEH,TOTAL,PERKOTAAN,2021,SEPTEMBER,577270.0,2,2,1.760787698599756,2,2.074503837538924,0.7875790691022133,577270.0
ACEH,TOTAL,PERKOTAAN,2022,MARET,606394.0,2,2,1.9483794830034795,2,2.239631414977088,0.7911248345331441,606394.0
ACEH,TOTAL,PERKOTAAN,2022,SEPTEMBER,646232.0,2,2,2.2049816498444197,2,2.4655053481587106,0.7959749994568297,646232.0
ACEH,TOTAL,PERDESAAN,2021,MARET,529035.0,2,0,1.4500992725348743,3,1.609962066067267,-1.1616709845581124,529035.0
ACEH,TOTAL,PERDESAAN,2021,SEPTEMBER,541000.0,2,0,1.527167522101917,3,1.6778013554522295,-1.1602142793190968,541000.0
ACEH,TOTAL,PERDESAAN,2022,MARET,565762.0,2,0,1.6866630503743043,3,1.8181972170276937,-1.1571995751712905,565762.0
ACEH,TOTAL,PERDESAAN,2022,SEPTEMBER,602900.0,2,0,1.925874137078929,3,2.0287626603355675,-1.1526781276855775,602900.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2021,MARET,541109.0,2,1,1.527869606448161,2,1.7739485822495822,-0.188512220122106,541109.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2021,SEPTEMBER,552939.0,2,1,1.604068302008388,2,1.841022447140857,-0.18707195075498917,552939.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2022,MARET,579228.0,2,1,1.7733994522689802,2,1.9900761102115854,-0.18387133863392957,579228.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2022,SEPTEMBER,617293.0,2,1,2.018581476487073,2,2.205897468376113,-0.17923703149451253,617293.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,MARET,261677.0,0,2,-0.2719912471262557,5,-0.6444400635970784,1.2201708627731025,261677.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,SEPTEMBER,273271.0,0,2,-0.19731266079275855,5,-0.5787042741169908,1.2215823998011965,273271.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,MARET,290096.0,0,2,-0.0889404669803478,5,-0.4833097029592821,1.2236307964285627,290096.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,SEPTEMBER,302027.0,0,2,-0.012091216200206784,5,-0.4156631871505081,1.2250833622628037,302027.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,MARET,266143.0,0,0,-0.24322511235263158,0,-0.8101771221663635,-0.7226629917395961,266143.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,SEPTEMBER,284650.0,0,0,-0.12401891972937537,0,-0.7052459287984161,-0.7204098163230931,284650.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,MARET,304942.0,0,0,0.006684709206222775,0,-0.5901941226806019,-0.7179393221559304,304942.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,SEPTEMBER,313234.0,0,0,0.06009464864708518,0,-0.5431800493350019,-0.7169297943797568,313234.0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,263932.0,0,1,-0.25746647464203665,7,-0.7271838570383052,0.2487566139551367,263932.0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,279015.0,0,1,-0.16031474808794505,7,-0.6416660967546963,0.2505929269614109,279015.0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,296832.0,0,1,-0.04555294261063614,7,-0.5406470730211512,0.25276209681043205,296832.0
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,308037.0,0,1,0.02662003995507337,7,-0.4771168400450962,0.25412627417801825,308037.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,MARET,311996.0,0,2,0.052120516347544936,5,-0.35914084064999113,1.226297060092118,311996.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,SEPTEMBER,321688.0,0,2,0.1145480528961265,5,-0.30418903181429946,1.2274770339472403,321688.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,MARET,328225.0,0,2,0.1566537902483838,5,-0.26712547688663574,1.2282728953887316,328225.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,SEPTEMBER,345167.0,0,2,0.2657795975333682,5,-0.171067537834398,1.2303355364384099,345167.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,MARET,316190.0,0,0,0.07913466082595508,0,-0.5264200878287797,-0.7165699096587764,316190.0
